"id"	"group"	"weight"
"1"	"F"	61.5858685012292
"2"	"F"	64.5548584842213
"3"	"F"	66.1688823533661
"4"	"F"	59.3086045947413
"5"	"F"	64.8582493776221
"6"	"F"	65.0121117843152
"7"	"F"	62.8505200797307
"8"	"F"	62.9067362884316
"9"	"F"	62.8710960018134
"10"	"F"	62.2199243419118
"11"	"F"	63.0456146004929
"12"	"F"	62.0032271102806
"13"	"F"	62.447492210724
"14"	"F"	64.1289176345525
"15"	"F"	65.9189881179415
"16"	"F"	63.7794290112185
"17"	"F"	62.9779809883867
"18"	"F"	62.1776091667404
"19"	"F"	62.3256566394621
"20"	"F"	68.8316703569787
"21"	"M"	89.7374852108362
"22"	"M"	86.3012275681998
"23"	"M"	86.5769867020573
"24"	"M"	91.5277419255322
"25"	"M"	85.1845386418439
"26"	"M"	81.0348729928744
"27"	"M"	92.161156464954
"28"	"M"	83.3698935236987
"29"	"M"	88.916739347997
"30"	"M"	83.8522826935738
"31"	"M"	95.0626365041014
"32"	"M"	86.3842380662202
"33"	"M"	85.0980797936812
"34"	"M"	86.2430806667288
"35"	"M"	80.0399859200671
"36"	"M"	82.578094058482
"37"	"M"	77.0097819307823
"38"	"M"	81.6245374434498
"39"	"M"	87.3813837767996
"40"	"M"	86.4375635277664
