"ProbeSetID"	"FC"	"FDR"	"neg.log10.FDR"
"1007_PM_s_at"	-0.0672966256521739	0.700740927442589	0.154442516381985
"1053_PM_at"	-0.0674527226086956	0.722826082350809	0.140966184809694
"117_PM_at"	0.457619360434783	0.0952710467320148	1.02103906321276
"121_PM_at"	0.108149473478261	0.472003692039516	0.32605460427668
"1255_PM_g_at"	0.0855813930434782	0.31106952691305	0.507142531294764
"1294_PM_at"	0.115288576956522	0.669495936654025	0.174252054490793
"1316_PM_at"	-0.08787821	0.793760677681314	0.100310419524366
"1320_PM_at"	0.0137083386956521	0.885578582357394	0.0527728953773881
"1405_PM_i_at"	-0.245985096521739	0.326064993467504	0.486695824806351
"1431_PM_at"	0.00934038434782605	0.914054575884429	0.0390278728680887
"1438_PM_at"	-0.00920834173913045	0.951496302873949	0.0215928948646773
"1487_PM_at"	0.048928425652174	0.668652387734945	0.174799600203958
"1494_PM_f_at"	0.0886560082608695	0.594944703332374	0.225523397554833
"1552256_PM_a_at"	-0.122684039565217	0.350696501998281	0.455068565941767
"1552257_PM_a_at"	0.103285906956522	0.612253947452275	0.213068406119599
"1552258_PM_at"	0.225512914782609	0.30083555934702	0.521670830595538
"1552261_PM_at"	-0.0181943873913043	0.905508961042777	0.0431072474899852
"1552263_PM_at"	0.00183695739130419	0.99391652648333	0.00265008804729209
"1552264_PM_a_at"	0.0696906082608697	0.715743835807808	0.1452423835595
"1552266_PM_at"	0.00415407695652172	0.972669839360514	0.0120345505606017
"1552269_PM_at"	-0.0336344991304348	0.73929008504192	0.13118511828572
"1552271_PM_at"	0.0365162926086957	0.837002250709943	0.0772733741816571
"1552272_PM_a_at"	0.0719236952173912	0.647462502614426	0.188785378411493
"1552274_PM_at"	-0.244451635652174	0.168763395290361	0.772721745786986
"1552275_PM_s_at"	-0.159926074347826	0.610571684299938	0.214263340288639
"1552276_PM_a_at"	0.0920122069565217	0.650876597633904	0.186501343300907
"1552277_PM_a_at"	-0.0943766447826087	0.591571020494812	0.227993109096131
"1552278_PM_a_at"	-0.0158727882608696	0.930194856699136	0.03142606615041
"1552279_PM_a_at"	-0.011780905652174	0.970826704781325	0.0128582859251282
"1552280_PM_at"	0.0655915260869565	0.55973246759431	0.252019500868707
"1552281_PM_at"	0.175175813478261	0.380769845216318	0.419337452553079
"1552283_PM_s_at"	-0.04188123	0.675847156082062	0.17015150934753
"1552286_PM_at"	0.01690249	0.946046260733193	0.0240876265052508
"1552287_PM_s_at"	-0.242912342173913	0.524313645067061	0.280408839787291
"1552288_PM_at"	-0.132154566086957	0.376493485016036	0.424242534592273
"1552289_PM_a_at"	-0.00119210521739133	0.994495103367883	0.00239735088599475
"1552291_PM_at"	-0.0681053634782609	0.850579462299151	0.0702851077703976
"1552293_PM_at"	0.122002151304348	0.338655996906794	0.470241229520282
"1552295_PM_a_at"	-0.0795595582608695	0.59984949784458	0.221957700374053
"1552296_PM_at"	-0.0390628952173913	0.636084172319804	0.196485410837068
"1552299_PM_at"	-0.0113256156521739	0.956917016013864	0.0191257226723674
"1552301_PM_a_at"	0.0699790352173913	0.530408673034177	0.275389383132527
"1552302_PM_at"	0.16475072826087	0.723431928178769	0.140602327858248
"1552303_PM_a_at"	0.144850309565217	0.711838913049633	0.147618274746327
"1552304_PM_at"	0.0191464204347827	0.917741828076926	0.0372794739303755
"1552306_PM_at"	-0.0484657295652173	0.750848113244528	0.124447906206365
"1552307_PM_a_at"	-0.198107905652174	0.424008218743878	0.372625725198492
"1552309_PM_a_at"	0.524478379565217	0.326890767810657	0.485597344777557
"1552310_PM_at"	-0.275425761304348	0.464553587071918	0.332964182149741
"1552311_PM_a_at"	0.103626943043478	0.67934440713299	0.167909995680923
"1552312_PM_a_at"	0.185641918695652	0.591590251247869	0.227978991308242
"1552314_PM_a_at"	0.0109471913043479	0.940160064345073	0.0267982005025016
"1552315_PM_at"	-0.200423559130435	0.253710870657061	0.595660924322479
"1552316_PM_a_at"	-0.193624427391304	0.0795078598261763	1.09958993662139
"1552318_PM_at"	-0.210758530434783	0.098716197492931	1.00561158183234
"1552319_PM_a_at"	0.0883723439130435	0.467016430813991	0.330667839591661
"1552320_PM_a_at"	-0.140573260434783	0.32302681149372	0.490761429370054
"1552321_PM_a_at"	-0.0675769817391305	0.83975454238079	0.0758476383043078
